Store,Date,Forecasted_Sales
1,2012-11-02,1541462.99
1,2012-11-09,1545057.28
1,2012-11-16,1545327.54
1,2012-11-23,1545347.86
1,2012-11-30,1545349.39
1,2012-12-07,1545349.5
1,2012-12-14,1545349.51
1,2012-12-21,1545349.51
1,2012-12-28,1545349.51
1,2013-01-04,1545349.51
1,2013-01-11,1545349.51
1,2013-01-18,1545349.51
2,2012-11-02,1858602.33
2,2012-11-09,1862500.6
2,2012-11-16,1863130.02
2,2012-11-23,1863231.64
2,2012-11-30,1863248.05
2,2012-12-07,1863250.7
2,2012-12-14,1863251.13
2,2012-12-21,1863251.2
2,2012-12-28,1863251.21
2,2013-01-04,1863251.21
2,2013-01-11,1863251.21
2,2013-01-18,1863251.21
3,2012-11-02,412575.88
3,2012-11-09,413178.25
3,2012-11-16,413229.04
3,2012-11-23,413233.33
3,2012-11-30,413233.69
3,2012-12-07,413233.72
3,2012-12-14,413233.72
3,2012-12-21,413233.72
3,2012-12-28,413233.72
3,2013-01-04,413233.72
3,2013-01-11,413233.72
3,2013-01-18,413233.72
4,2012-11-02,2133963.33
4,2012-11-09,2132152.51
4,2012-11-16,2131942.74
4,2012-11-23,2131918.43
4,2012-11-30,2131915.62
4,2012-12-07,2131915.29
4,2012-12-14,2131915.26
4,2012-12-21,2131915.25
4,2012-12-28,2131915.25
4,2013-01-04,2131915.25
4,2013-01-11,2131915.25
4,2013-01-18,2131915.25
5,2012-11-02,321110.69
5,2012-11-09,321315.14
5,2012-11-16,321341.94
5,2012-11-23,321345.45
5,2012-11-30,321345.91
5,2012-12-07,321345.97
5,2012-12-14,321345.98
5,2012-12-21,321345.98
5,2012-12-28,321345.98
5,2013-01-04,321345.98
5,2013-01-11,321345.98
5,2013-01-18,321345.98
6,2012-11-02,1454092.21
6,2012-11-09,1460663.0
6,2012-11-16,1462567.86
6,2012-11-23,1463120.07
6,2012-11-30,1463280.16
6,2012-12-07,1463326.57
6,2012-12-14,1463340.02
6,2012-12-21,1463343.92
6,2012-12-28,1463345.05
6,2013-01-04,1463345.38
6,2013-01-11,1463345.48
6,2013-01-18,1463345.5
7,2012-11-02,501968.41
7,2012-11-09,502537.0
7,2012-11-16,502587.31
7,2012-11-23,502591.77
7,2012-11-30,502592.16
7,2012-12-07,502592.19
7,2012-12-14,502592.2
7,2012-12-21,502592.2
7,2012-12-28,502592.2
7,2013-01-04,502592.2
7,2013-01-11,502592.2
7,2013-01-18,502592.2
8,2012-11-02,906240.42
8,2012-11-09,908041.59
8,2012-11-16,908264.26
8,2012-11-23,908291.79
8,2012-11-30,908295.2
8,2012-12-07,908295.62
8,2012-12-14,908295.67
8,2012-12-21,908295.68
8,2012-12-28,908295.68
8,2013-01-04,908295.68
8,2013-01-11,908295.68
8,2013-01-18,908295.68
9,2012-11-02,550883.17
9,2012-11-09,551115.48
9,2012-11-16,551162.33
9,2012-11-23,551171.79
9,2012-11-30,551173.69
9,2012-12-07,551174.08
9,2012-12-14,551174.16
9,2012-12-21,551174.17
9,2012-12-28,551174.17
9,2013-01-04,551174.17
9,2013-01-11,551174.17
9,2013-01-18,551174.17
10,2012-11-02,1733727.59
10,2012-11-09,1731375.7
10,2012-11-16,1730854.93
10,2012-11-23,1730739.61
10,2012-11-30,1730714.08
10,2012-12-07,1730708.42
10,2012-12-14,1730707.17
10,2012-12-21,1730706.89
10,2012-12-28,1730706.83
10,2013-01-04,1730706.82
10,2013-01-11,1730706.82
10,2013-01-18,1730706.82
11,2012-11-02,1263265.11
11,2012-11-09,1275452.39
11,2012-11-16,1277827.51
11,2012-11-23,1278290.39
11,2012-11-30,1278380.6
11,2012-12-07,1278398.18
11,2012-12-14,1278401.6
11,2012-12-21,1278402.27
11,2012-12-28,1278402.4
11,2013-01-04,1278402.42
11,2013-01-11,1278402.43
11,2013-01-18,1278402.43
12,2012-11-02,961191.59
12,2012-11-09,958579.54
12,2012-11-16,958074.37
12,2012-11-23,957976.67
12,2012-11-30,957957.78
12,2012-12-07,957954.12
12,2012-12-14,957953.42
12,2012-12-21,957953.28
12,2012-12-28,957953.25
12,2013-01-04,957953.25
12,2013-01-11,957953.25
12,2013-01-18,957953.25
13,2012-11-02,2027224.76
13,2012-11-09,2025283.37
13,2012-11-16,2024810.16
13,2012-11-23,2024694.82
13,2012-11-30,2024666.71
13,2012-12-07,2024659.86
13,2012-12-14,2024658.19
13,2012-12-21,2024657.78
13,2012-12-28,2024657.68
13,2013-01-04,2024657.66
13,2013-01-11,2024657.65
13,2013-01-18,2024657.65
14,2012-11-02,1650813.56
14,2012-11-09,1646673.51
14,2012-11-16,1646353.4
14,2012-11-23,1646328.65
14,2012-11-30,1646326.74
14,2012-12-07,1646326.59
14,2012-12-14,1646326.58
14,2012-12-21,1646326.58
14,2012-12-28,1646326.58
14,2013-01-04,1646326.58
14,2013-01-11,1646326.58
14,2013-01-18,1646326.58
15,2012-11-02,569858.31
15,2012-11-09,573504.23
15,2012-11-16,574671.82
15,2012-11-23,575045.74
15,2012-11-30,575165.49
15,2012-12-07,575203.84
15,2012-12-14,575216.12
15,2012-12-21,575220.05
15,2012-12-28,575221.31
15,2013-01-04,575221.71
15,2013-01-11,575221.84
15,2013-01-18,575221.88
16,2012-11-02,492793.22
16,2012-11-09,497934.41
16,2012-11-16,499487.12
16,2012-11-23,499956.06
16,2012-11-30,500097.68
16,2012-12-07,500140.45
16,2012-12-14,500153.37
16,2012-12-21,500157.27
16,2012-12-28,500158.45
16,2013-01-04,500158.81
16,2013-01-11,500158.92
16,2013-01-18,500158.95
17,2012-11-02,951370.99
17,2012-11-09,952037.15
17,2012-11-16,952093.28
17,2012-11-23,952098.01
17,2012-11-30,952098.41
17,2012-12-07,952098.44
17,2012-12-14,952098.45
17,2012-12-21,952098.45
17,2012-12-28,952098.45
